Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
2014,Stephen Morris,Miami (FL),QB,73.88,213,10.25,32.75,,4.63,,30,111,4.49,7.36,
2014,Aaron Murray,Georgia,QB,72.5,207,9.13,30.625,,,,,,,,
2014,Bryn Renner,North Carolina,QB,75.25,228,9.13,30.38,,4.87,,25.5,108,4.3,7.22,
2014,Tom Savage,Pittsburgh,QB,75.88,228,9.63,31.63,,4.97,,27,104,4.36,7.33,
2014,Connor Shaw,South Carolina,QB,72.38,206,9.25,30,,4.66,,34,115,4.33,7.07,
2014,Logan Thomas,Virginia Tech,QB,78.13,248,10.88,34.25,,4.61,,35.5,116,4.18,7.05,
2014,Dustin Vaughan,West Texas A&M,QB,76.88,235,8.88,33,,4.95,,29,108,4.43,7.25,
2014,Keith Wenning,Ball State (IN),QB,74.63,218,10,31.25,,5,,28,99,4.25,7.07,
2013,Matt Barkley,Southern California,QB,74.5,230,10.08,30.63,30,4.91,,,,4.6,,
2013,Tyler Bray,Tennessee,QB,78.13,232,9.28,33,24,5.05,,,100,4.51,7.2,
2013,Colby Cameron,Louisiana Tech,QB,74.13,212,9.08,32,,4.78,,30.5,112,4.28,6.98,
2013,B.J. Daniels,South Florida,QB,70.63,222,9,32,,4.68,20,31,113,4.29,7.07,
2013,Zac Dysert,Miami (OH),QB,74.88,227,9.13,32.625,24,4.81,,,,,,
2013,Mike Glennon,North Carolina State,QB,79.13,225,9.58,33.13,26,4.94,,26.5,102,4.52,7.49,
2013,Ryan Griffin,Tulane (LA),QB,75.88,221,9.38,31.25,,5.25,,24,100,4.8,7.69,
2013,Landry Jones,Oklahoma,QB,76.13,225,9.18,33,28,5.11,,31,115,4.3,7.12,
2013,Collin Klein,Kansas State,QB,76.88,226,9.28,32,,4.78,,29,111,4.4,7.17,
2013,E.J. Manuel,Florida State,QB,76.63,237,10.38,35,28,4.65,,34,118,4.21,7.08,
2013,Ryan Nassib,Syracuse,QB,74.13,227,10.18,32,41,5.06,,28.5,105,4.53,7.34,
2013,Sean Renfree,Duke,QB,75.13,219,9,32,,,,,,,,
2013,Matt Scott,Arizona,QB,74.13,213,9.08,30.25,22,4.69,,31,118,3.99,6.69,
2013,Geno Smith,West Virginia,QB,74.38,218,9.28,32.5,24,4.58,,33.5,124,,,
2013,Brad Sorensen,Southern Utah,QB,76.5,229,9.28,32.25,,4.97,,29,112,4.55,7.17,
2013,Jeff Tuel,Washington State,QB,75,218,9.25,32.375,,4.65,,30.5,110,4.14,6.95,
2013,James Vandenberg,Iowa,QB,74.75,226,9.68,30.25,,4.92,,32,116,4.52,6.95,
2013,Tyler Wilson,Arkansas,QB,74.13,215,8.68,31.38,20,4.95,,28.5,112,4.39,7.22,
2012,B.J. Coleman,Tennessee-Chattanooga,QB,75,233,10.38,31.63,,4.95,,28,109,4.38,7.07,
2012,Aaron Corp,Richmond (VA),QB,75.5,215,9.38,32,,4.61,,31.5,106,4.3,7.03,
